,state,customer_lifetime_value,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
31,CA,5265.0,No,Basic,College,Unemployed,F,0,Rural,Divorced,72,30.0,26,0.0,8,Special Auto,Special L3,Offer1,Branch,136.0,Four-Door Car,Medsize,February
32,CA,3945.0,No,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12.0,59,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,647.0,SUV,Medsize,January
33,OR,5177.0,No,Basic,High School or Below,Employed,M,41533,Urban,Married,65,2.0,46,0.0,9,Corporate Auto,Corporate L2,Offer3,Agent,233.0,Four-Door Car,Medsize,February
34,AZ,4492.0,No,Basic,Bachelor,Medical Leave,F,21137,Suburban,Single,61,29.0,62,1.0,6,Personal Auto,Personal L1,Offer2,Web,293.0,Four-Door Car,Medsize,January
35,OR,8470.0,No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479.0,Four-Door Car,Large,February
36,CA,2880.0,No,Basic,College,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,191.0,Four-Door Car,Medsize,January
37,AZ,6183.0,No,Extended,High School or Below,Medical Leave,M,20072,Suburban,Married,82,35.0,51,0.0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.0,Four-Door Car,Medsize,February
38,NV,9799.0,No,Extended,College,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,605.0,SUV,Medsize,January
39,AZ,5791.0,No,Basic,Master,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,29.0,Four-Door Car,Large,February
40,AZ,5041.0,No,Basic,College,Employed,M,61972,Rural,Married,64,2.0,52,2.0,5,Personal Auto,Personal L1,Offer4,Call Center,139.0,Four-Door Car,Medsize,January
41,AZ,5746.0,No,Basic,Bachelor,Employed,F,57740,Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,270.0,Four-Door Car,Medsize,January
42,AZ,4828.0,No,Basic,College,Unemployed,F,0,Suburban,Single,68,29.0,91,0.0,6,Personal Auto,Personal L3,Offer1,Branch,326.0,Four-Door Car,Medsize,January
43,CA,7664.0,No,Basic,College,Employed,M,60184,Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Web,162.0,Luxury SUV,Medsize,January
44,CA,3593.0,No,Extended,College,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,461.0,Four-Door Car,Large,February
45,NV,9864.0,No,Extended,Master,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,273.0,SUV,Medsize,February
46,CA,5111.0,No,Basic,High School or Below,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.0,Four-Door Car,Medsize,February
47,AZ,2452.0,No,Basic,High School or Below,Employed,F,51085,Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,407.0,Two-Door Car,Small,January
48,OR,2195.0,No,Basic,College,Unemployed,M,0,Suburban,Single,62,11.0,48,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,624.0,Four-Door Car,Medsize,January
49,CA,4474.0,No,Extended,High School or Below,Unemployed,F,0,Suburban,Divorced,125,2.0,84,0.0,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,February
50,AZ,19436.0,No,Extended,High School or Below,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2295.0,Luxury Car,Medsize,February
51,OR,2458.0,No,Basic,High School or Below,Employed,F,52926,Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,293.0,Four-Door Car,Medsize,January
52,OR,6871.0,No,Premium,College,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,January
53,OR,5651.0,No,Basic,Bachelor,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.0,Four-Door Car,Small,January
54,CA,4556.0,No,Basic,Bachelor,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.0,Two-Door Car,Medsize,February
55,OR,3096.0,No,Extended,College,Unemployed,F,0,Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,775.0,Two-Door Car,Small,January
56,AZ,5860.0,No,Basic,Bachelor,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.0,Four-Door Car,Medsize,February
57,OR,2301.0,Yes,Basic,Bachelor,Retired,M,25905,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.0,Four-Door Car,Large,January
58,CA,4950.0,No,Basic,High School or Below,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.0,Four-Door Car,Medsize,January
59,NV,2224.0,No,Basic,College,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.0,Four-Door Car,Medsize,January
60,OR,2867.0,Yes,Extended,Bachelor,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.0,Four-Door Car,Medsize,January
61,OR,5427.0,No,Basic,College,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,346.0,Four-Door Car,Medsize,February
62,AZ,12158.0,No,Extended,High School or Below,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,370.0,Four-Door Car,Medsize,January
63,CA,8152.0,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,569.0,Four-Door Car,Small,January
64,AZ,2191.0,No,Basic,College,Unemployed,M,0,Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439.0,Four-Door Car,Medsize,January
65,OR,26346.0,No,Extended,High School or Below,Employed,M,48268,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1606.0,Luxury SUV,Medsize,January
66,OR,2364.0,No,Basic,College,Employed,M,46264,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.0,Four-Door Car,Medsize,January
67,CA,2710.0,No,Basic,Doctor,Unemployed,M,0,Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,341.0,Four-Door Car,Small,January
68,WA,74229.0,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742.0,Luxury Car,Medsize,January
69,CA,14687.0,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,February
70,AZ,9313.0,No,Premium,High School or Below,Employed,M,75986,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89.0,Four-Door Car,Medsize,February
71,CA,7750.0,No,Basic,College,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,34.0,Four-Door Car,Medsize,February
72,WA,2541.0,No,Basic,Master,Employed,M,42557,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,58.0,Four-Door Car,Large,February
73,AZ,2457.0,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,526.0,Four-Door Car,Small,February
74,OR,3756.0,No,Extended,High School or Below,Employed,F,56178,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451.0,Four-Door Car,Medsize,January
75,OR,32475.0,No,Basic,High School or Below,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.0,SUV,Small,January
76,OR,6942.0,No,Basic,College,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,533.0,SUV,Small,February
77,CA,7048.0,No,Basic,College,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,971.0,Luxury SUV,Medsize,February
78,AZ,26770.0,No,Basic,College,Employed,F,26335,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,356.0,SUV,Large,January
79,NV,9549.0,No,Basic,High School or Below,Employed,F,55986,Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,389.0,SUV,Small,February
80,WA,4331.0,No,Basic,High School or Below,Employed,F,82302,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722.0,SUV,Medsize,February
81,WA,7294.0,No,Basic,College,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,734.0,Sports Car,Medsize,February
82,OR,3289.0,No,Extended,College,Employed,M,40097,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227.0,Two-Door Car,Medsize,January
83,AZ,3418.0,No,Extended,High School or Below,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.0,Four-Door Car,Medsize,January
84,CA,16321.0,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778.0,Luxury Car,Medsize,February
85,CA,2838.0,No,Extended,Bachelor,Unemployed,F,0,Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,337.0,Four-Door Car,Medsize,February
86,CA,4701.0,No,Basic,College,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,562.0,SUV,Medsize,February
87,AZ,2472.0,Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.0,Two-Door Car,Medsize,January
88,AZ,10131.0,No,Extended,Doctor,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,January
89,CA,3419.0,No,Extended,High School or Below,Employed,M,40272,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23.0,Two-Door Car,Medsize,February
90,CA,23866.0,No,Extended,High School or Below,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,389.0,Four-Door Car,Medsize,February
91,AZ,3179.0,No,Extended,Bachelor,Employed,F,65742,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277.0,Four-Door Car,Medsize,January
92,CA,16408.0,No,Premium,Bachelor,Employed,M,22103,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160.0,Four-Door Car,Large,January
93,AZ,9372.0,No,Basic,Bachelor,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,498.0,SUV,Medsize,February
94,AZ,4270.0,Yes,Extended,College,Unemployed,M,0,Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,726.0,SUV,Medsize,January
95,CA,5800.0,No,Basic,College,Employed,M,60689,Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,6.0,Four-Door Car,Medsize,January
96,OR,5097.0,Yes,Basic,Master,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,January
97,NV,15563.0,No,Premium,Bachelor,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.0,Luxury Car,Medsize,January
98,WA,7476.0,No,Basic,Bachelor,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,535.0,Luxury Car,Medsize,January
99,OR,9987.0,No,Extended,High School or Below,Disabled,M,24067,Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,634.0,Sports Car,Medsize,January
100,CA,5569.0,No,Extended,College,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,237.0,SUV,Medsize,February
101,WA,20580.0,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,567.0,Four-Door Car,Medsize,January
102,OR,8276.0,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.0,Four-Door Car,Medsize,February
103,CA,4014.0,No,Extended,Master,Employed,F,54054,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,6.0,Four-Door Car,Medsize,February
104,AZ,12990.0,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,65,16.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,February
105,CA,15114.0,Yes,Basic,High School or Below,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,January
106,WA,4710.0,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,471.0,Four-Door Car,Small,February
107,OR,2453.0,No,Basic,College,Employed,M,79898,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate L1,Offer4,Agent,272.0,Four-Door Car,Medsize,February
108,CA,3919.0,Yes,Extended,High School or Below,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.0,Four-Door Car,Small,January
109,OR,12333.0,No,Basic,College,Employed,M,85789,Rural,Married,105,18.0,54,2.0,2,Personal Auto,Personal L1,Offer1,Agent,122.0,Sports Car,Medsize,February
110,CA,35863.0,No,Extended,High School or Below,Medical Leave,M,26376,Suburban,Divorced,121,7.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Agent,581.0,SUV,Small,February
111,OR,2398.0,No,Basic,College,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,424.0,Four-Door Car,Medsize,February
112,CA,6006.0,Yes,Extended,College,Retired,M,13528,Suburban,Single,86,21.0,35,0.0,3,Personal Auto,Personal L3,Offer1,Agent,413.0,Four-Door Car,Medsize,February
113,CA,8014.0,No,Basic,Bachelor,Employed,M,65636,Suburban,Married,67,15.0,72,0.0,2,Personal Auto,Personal L2,Offer2,Call Center,322.0,Four-Door Car,Medsize,January
114,WA,4979.0,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,71,17.0,57,0.0,5,Personal Auto,Personal L1,Offer2,Agent,341.0,Two-Door Car,Medsize,January
115,AZ,4835.0,Yes,Basic,College,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate Auto,Corporate L3,Offer2,Call Center,317.0,Four-Door Car,Medsize,January
116,NV,3288.0,No,Basic,College,Unemployed,M,0,Suburban,Single,102,16.0,1,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,734.0,SUV,Large,January
117,AZ,5525.0,No,Basic,College,Employed,F,64816,Suburban,Married,69,30.0,33,0.0,7,Corporate Auto,Corporate L2,Offer3,Agent,331.0,Four-Door Car,Small,February
118,WA,9031.0,Yes,Extended,Master,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,651.0,Sports Car,Medsize,February
119,CA,4620.0,No,Extended,College,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal Auto,Personal L2,Offer3,Agent,936.0,SUV,Medsize,February
120,WA,5553.0,No,Basic,High School or Below,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377.0,Two-Door Car,Large,February
121,NV,3842.0,No,Premium,College,Disabled,M,27906,Suburban,Divorced,102,5.0,57,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,490.0,Four-Door Car,Medsize,January
122,CA,5093.0,No,Basic,Bachelor,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal Auto,Personal L1,Offer3,Call Center,167.0,Two-Door Car,Medsize,January
123,OR,16794.0,No,Basic,High School or Below,Employed,F,38399,Urban,Married,106,12.0,6,0.0,2,Personal Auto,Personal L3,Offer2,Web,369.0,SUV,Medsize,February
124,OR,24278.0,No,Extended,Master,Retired,F,20983,Urban,Single,97,10.0,52,1.0,2,Personal Auto,Personal L2,Offer1,Branch,452.0,Four-Door Car,Medsize,February
125,CA,7463.0,Yes,Extended,College,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,7.0,Two-Door Car,Small,January
126,CA,3736.0,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,110,3.0,16,0.0,1,Personal Auto,Personal L3,Offer1,Agent,792.0,SUV,Medsize,January
127,OR,2891.0,No,Basic,Bachelor,Employed,F,80590,Rural,Married,71,4.0,19,0.0,1,Corporate Auto,Corporate L3,Offer4,Branch,134.0,Four-Door Car,Small,February
128,WA,11982.0,Yes,Basic,Master,Retired,F,21514,Urban,Married,62,0.0,59,0.0,2,Personal Auto,Personal L3,Offer1,Agent,257.0,Two-Door Car,Medsize,January
129,OR,4283.0,Yes,Basic,College,Employed,F,40864,Rural,Married,109,16.0,70,1.0,1,Personal Auto,Personal L3,Offer1,Agent,167.0,SUV,Medsize,February
130,AZ,5381.0,Yes,Basic,College,Employed,F,55350,Suburban,Married,67,0.0,13,0.0,9,Personal Auto,Personal L3,Offer1,Agent,322.0,Four-Door Car,Medsize,February
131,OR,5828.0,No,Basic,College,Employed,F,31364,Suburban,Married,74,28.0,47,0.0,3,Personal Auto,Personal L3,Offer2,Web,461.0,Four-Door Car,Small,February
132,CA,5048.0,No,Extended,High School or Below,Employed,F,34452,Suburban,Married,126,2.0,51,0.0,1,Personal Auto,Personal L1,Offer4,Agent,605.0,SUV,Large,February
133,OR,7737.0,No,Basic,College,Employed,F,50296,Rural,Married,65,26.0,62,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,47.0,Two-Door Car,Medsize,January
134,CA,7950.0,No,Basic,High School or Below,Employed,M,26189,Suburban,Single,69,6.0,42,0.0,2,Personal Auto,Personal L2,Offer3,Agent,331.0,Four-Door Car,Small,January
135,WA,8007.0,Yes,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,112,12.0,93,0.0,3,Personal Auto,Personal L3,Offer1,Web,538.0,Sports Car,Medsize,January
136,AZ,4873.0,No,Extended,High School or Below,Retired,F,18866,Suburban,Married,126,4.0,62,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,605.0,SUV,Medsize,January
137,OR,2252.0,No,Basic,College,Unemployed,F,0,Suburban,Single,65,13.0,84,0.0,1,Personal Auto,Personal L3,Offer3,Web,468.0,Two-Door Car,Medsize,January
138,OR,4957.0,No,Basic,College,Employed,F,62803,Suburban,Married,62,16.0,12,0.0,5,Personal Auto,Personal L3,Offer2,Web,401.0,Two-Door Car,Small,January
139,OR,2656.0,No,Basic,High School or Below,Employed,F,83460,Suburban,Divorced,66,20.0,18,0.0,1,Corporate Auto,Corporate L2,Offer2,Call Center,443.0,Four-Door Car,Medsize,January
140,WA,5899.0,No,Extended,Bachelor,Employed,F,53998,Suburban,Divorced,78,5.0,38,5.0,8,Personal Auto,Personal L3,Offer1,Call Center,415.0,Four-Door Car,Medsize,February
141,CA,17724.0,No,Extended,College,Employed,F,25771,Suburban,Married,222,21.0,58,0.0,4,Personal Auto,Personal L1,Offer1,Branch,1254.0,Luxury SUV,Medsize,February
142,CA,4518.0,No,Basic,Bachelor,Medical Leave,F,25261,Suburban,Married,118,31.0,9,0.0,1,Personal Auto,Personal L3,Offer4,Branch,566.0,SUV,Medsize,February
143,AZ,5311.0,No,Basic,College,Unemployed,F,0,Suburban,Married,72,17.0,11,1.0,3,Personal Auto,Personal L1,Offer1,Branch,346.0,Four-Door Car,Small,February
144,NV,2773.0,No,Basic,High School or Below,Employed,F,73478,Urban,Married,68,2.0,38,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,242.0,Four-Door Car,Medsize,January
145,AZ,5504.0,Yes,Basic,Bachelor,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate Auto,Corporate L3,Offer1,Call Center,350.0,Four-Door Car,Medsize,February
146,OR,8489.0,No,Basic,High School or Below,Employed,F,80213,Suburban,Married,70,12.0,17,0.0,2,Personal Auto,Personal L3,Offer1,Branch,440.0,Two-Door Car,Medsize,January
147,WA,2472.0,Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L3,Offer2,Agent,114.0,Two-Door Car,Medsize,January
