,controln,state,hv1,avg_fam_income,med_house_income,med_house_income,hvp1,pobc2,med_fam_income,avggift,tcode,dob,domain,target_d,not_so_many_randoms,empty_col
44,161804,CA,1137,444,348,362,5,54,425,9.0,1,3906,R2,5.0,0.06054551326240343, 
45,11348,FL,912,442,313,370,8,14,379,12.16666667,0,0,C2,5.0,0.4266276793148378, 
46,111380,AR,332,296,219,257,0,84,261,7.133333333,1,2801,R3,10.0,0.9492734888851818, 
47,86578,ND,247,259,195,220,0,87,231,5.5,2,1201,R3,15.0,0.14809807512366224, 
48,157904,CA,2190,709,611,655,63,43,669,6.5,0,4401,S1,6.0,0.7023850159862792, 
49,140924,NV,1117,450,461,461,3,28,461,6.428571429,1002,0,S2,7.0,0.06413267420103153, 
50,32972,FL,814,312,268,282,1,46,298,10.4,0,5511,S2,12.0,0.19466836850841285, 
51,149541,CA,1814,410,328,418,27,43,380,10.66666667,2,3601,S2,10.0,0.05037471406735816, 
52,182604,WA,403,365,195,288,0,63,237,20.0,0,2801,T2,15.0,0.8750745028383123, 
53,103876,MO,613,357,264,323,0,64,300,10.66666667,28,3001,C2,20.0,0.29872509329252783, 
54,65999,MI,2712,1079,1022,1144,81,44,989,18.42857143,2,1909,C1,25.0,0.35622798541014145, 
55,104394,KS,958,582,467,499,8,45,525,7.6,28,3501,C1,10.0,0.2660421982325377, 
56,117524,TN,1129,537,332,445,12,43,429,20.83333333,28,4402,S1,25.0,0.12138060250927041, 
57,147904,CA,4984,777,630,702,98,41,734,12.14285714,0,1501,S1,50.0,0.35261083942507, 
58,105815,KS,452,324,270,300,0,62,297,14.8,1002,5001,C3,20.0,0.8363584876651826, 
59,31778,FL,986,539,485,495,11,26,530,20.11111111,1,4308,T1,25.0,0.42061217863668554, 
60,112084,AR,655,305,215,247,3,31,267,14.44,1,2410,R2,14.0,0.28571257451881127, 
61,58850,KY,459,258,133,195,0,81,237,3.52173913,1,2201,T2,6.0,0.4788852626434358, 
62,185901,TX,674,553,317,402,2,57,458,5.363636364,2,801,0,10.0,0.30587092050922204, 
63,134566,UT,728,339,265,304,2,54,315,10.35714286,0,0,S2,10.0,0.2955049856067956, 
64,185819,CA,4153,891,580,886,91,41,640,12.0,2,1601,S1,13.0,0.7830083786667482, 
65,3985,TX,348,265,197,223,0,87,239,10.22692308,0,2612,R3,12.0,0.3512384667792803, 
66,23321,SC,869,511,426,505,4,68,465,7.25,0,3011,T1,10.0,0.002857571607081555, 
67,158978,CA,1876,450,393,404,24,46,419,10.83333333,0,5009,S2,15.0,0.10017730729458352, 
68,14388,FL,865,432,341,387,3,21,392,6.266666667,1002,6206,S2,10.0,0.3360240586957367, 
69,12779,CA,666,288,213,253,1,47,268,8.166666667,1,1407,R3,10.0,0.7977240845411658, 
70,39667,FL,809,446,358,389,8,32,411,13.71428571,0,2209,S2,15.0,0.48667168689937623, 
71,163731,CA,4763,609,502,534,97,42,551,9.888888889,1,5401,S1,11.0,0.47668049480385744, 
72,156457,CA,0,0,0,0,0,0,0,15.0,0,5308,U2,25.0,0.8329267379136343, 
73,100369,MO,987,412,296,354,1,76,344,28.0,2,7201,S2,28.0,0.9963157537284116, 
74,46201,FL,2444,782,729,780,70,33,737,15.0,1,3001,S1,15.0,0.026825507796607417, 
75,118182,TX,503,292,213,255,1,71,262,4.5,0,2301,R2,5.0,0.841859163076616, 
76,67,NM,1004,313,189,247,0,32,236,5.05,0,1801,C2,5.0,0.35695694897439667, 
77,116951,TX,1565,784,717,780,0,27,704,6.1,0,1404,U3,6.0,0.5607103231871507, 
78,160032,CA,872,356,294,307,0,62,343,20.4,0,0,C2,25.0,0.044143462047334325, 
79,60694,IN,501,399,305,374,2,61,354,20.77777778,0,0,R1,25.0,0.07154127395372767, 
80,80387,WI,331,273,154,237,0,90,217,4.444444444,0,1401,T3,5.0,0.22689108874788955, 
81,158143,CA,620,309,236,270,1,60,279,12.36142857,1,4007,S1,16.0,0.8385407226636421, 
82,25277,SC,747,488,369,457,0,35,396,15.0,1,2101,T1,17.0,0.9001723237988435, 
83,179454,WA,936,308,237,304,1,48,257,9.5,28,2501,U3,20.0,0.7017859839662552, 
84,145899,NC,1491,566,396,489,22,42,472,14.0,0,0,S2,20.0,0.3653087423441852, 
85,183790,WA,756,430,333,372,6,57,391,8.769230769,0,0,R2,14.0,0.24006089465153735, 
86,119538,TX,487,262,217,222,0,59,247,9.888888889,0,3602,C3,16.0,0.7546676881107443, 
87,24991,SC,651,382,310,345,1,73,337,7.611111111,1,5201,T2,11.0,0.6684931389738946, 
88,113501,OK,693,486,404,479,0,54,439,5.125,0,6201,C2,5.0,0.3206436110367753, 
89,185353,CA,1063,223,150,148,10,38,206,3.035714286,28,1801,U4,3.0,0.2818020405428695, 
90,72308,MI,609,466,403,424,0,87,422,19.25,0,2002,T2,46.0,0.7557936745260164, 
91,110519,LA,732,459,366,374,0,71,432,10.70588235,2,3801,R1,17.0,0.41378539538656656, 
92,124193,TX,439,341,268,301,0,72,307,5.8,0,0,R2,6.0,0.5517443916698009, 
93,181526,WA,871,384,339,355,2,51,363,9.5,0,0,T2,13.0,0.3460282954273697, 
94,2796,AK,682,469,374,423,3,29,416,15.0,0,0,R2,25.0,0.6957852299668955, 
95,67954,MI,313,274,159,256,0,76,220,16.25,0,3101,U4,35.0,0.08136700384243978, 
96,93809,IL,1059,528,334,513,0,75,392,7.583333333,1,2003,U2,10.0,0.79604427572575, 
97,109520,LA,687,328,257,310,0,79,291,9.0,1,4501,T2,15.0,0.13883302286441523, 
98,76051,IA,397,313,248,270,0,20,296,14.4,1,4207,S3,20.0,0.6123582700659556, 
99,145521,CA,2516,691,595,649,80,40,641,13.65517241,0,0,U1,16.0,0.5599239958654794, 
100,87533,MT,747,387,289,318,3,54,347,11.625,0,2401,R1,5.0,0.8767929028184358, 
101,82026,WI,506,346,270,323,0,81,326,8.6,0,2201,T2,12.0,0.9127343517894446, 
102,97055,IL,412,380,311,354,0,84,342,9.333333333,0,3001,R2,22.0,0.9385566406733551, 
103,74701,MI,360,267,206,239,1,70,233,9.142857143,1,1901,R3,20.0,0.8247879013379757, 
104,183374,WA,423,296,208,229,1,43,261,4.380952381,1,0,R3,10.0,0.7909081939063387, 
105,28565,GA,745,342,304,275,1,39,353,5.166666667,2,0,C3,7.0,0.12703333368137115, 
106,139628,NM,691,337,284,294,0,46,319,17.16,2,3801,U2,20.0,0.8403390792758649, 
107,113686,OK,657,366,358,366,0,34,357,10.0,1002,5701,C2,15.0,0.5489945270728874, 
108,123862,TX,978,609,428,559,1,43,475,4.333333333,0,7001,C1,3.0,0.12028421821803625, 
109,151629,CA,1586,369,308,321,10,32,337,9.5,0,3601,U3,15.0,0.856599443514908, 
110,5404,LA,587,331,291,302,0,75,317,17.53846154,0,3611,T2,10.0,0.6182757188781244, 
111,150516,CA,3304,669,567,614,82,37,629,24.05882353,28,1501,S1,25.0,0.21221377608181458, 
112,31911,VA,800,376,294,358,1,63,333,4.285714286,0,0,S1,5.0,0.9874005144880011, 
113,2379,MI,1596,672,549,603,31,71,631,10.875,1,4809,T1,10.0,0.7095400376247086, 
114,151455,CA,2105,395,301,314,55,36,372,15.33333333,0,0,U4,20.0,0.9070174238173135, 
115,90499,IL,1480,718,560,684,25,51,635,7.617021277,0,5208,C1,10.0,0.04187418867399251, 
116,177307,OR,585,292,216,266,1,42,255,9.727272727,28,0,C3,10.0,0.3394919928818909, 
117,65423,MI,1033,651,488,611,0,72,565,10.33333333,3,3401,S1,10.0,0.883840818106205, 
118,95800,IL,340,252,147,178,0,58,217,10.2,1,1004,S3,20.0,0.03273537316582342, 
119,91965,IL,1708,455,342,413,11,70,374,12.6875,2,4505,S2,16.0,0.21562241742672783, 
120,104721,KS,1419,777,694,698,13,29,766,7.363636364,0,6701,S2,10.0,0.9169777428526383, 
121,165177,CA,2698,599,563,593,89,49,572,10.81818182,0,0,U1,5.0,0.1083010871621174, 
122,156929,CA,2688,449,306,367,88,37,418,8.642857143,0,0,U2,15.0,0.18937859979223493, 
123,52549,TN,556,389,202,346,1,81,270,13.11111111,1,5501,R2,30.0,0.9582724270244625, 
124,51706,TN,972,318,193,278,16,71,281,11.42857143,0,4808,T2,15.0,0.5140007102980547, 
125,117969,TX,498,315,227,278,0,62,282,7.454545455,28,3001,C1,9.0,0.9459778755304876, 
126,2235,FL,878,410,285,331,10,6,349,10.47058824,1,3204,C2,12.0,0.41506225002054464, 
127,161023,CA,883,362,281,333,1,59,315,14.85714286,2,2801,R1,20.0,0.20827130020495432, 
128,139887,NM,670,290,231,287,2,52,282,11.66666667,28,0,R2,20.0,0.11259779428504091, 
129,186212,NM,589,325,270,317,0,45,292,8.588235294,1002,1008,C1,7.0,0.9687641322587037, 
130,162759,CA,2620,523,481,490,82,36,519,14.42857143,0,4001,S1,18.0,0.6546169634251111, 
131,95654,IL,677,489,426,466,0,71,442,10.66666667,1,3308,S2,20.0,0.2315781613149529, 
132,101774,MO,464,285,164,257,0,64,224,8.222222222,0,6201,C3,8.0,0.12517687235098185, 
133,21710,NC,600,349,257,308,1,64,292,9.52631579,2,0,T2,10.0,0.401347064463212, 
134,65565,MI,707,474,282,393,0,73,383,4.176470588,2,701,U2,10.0,0.4115306818786191, 
135,171631,CA,1537,544,495,509,19,58,528,11.19230769,4,5302,S1,10.0,0.44642197018788665, 
136,24869,SC,682,498,366,464,2,63,421,8.0,0,6001,T2,8.0,0.05998819741409289, 
137,129846,SD,867,536,483,492,2,51,524,12.5,1,4201,T1,11.0,0.7663330819710112, 
138,150379,CA,1943,381,312,353,45,54,355,20.0,0,0,S2,20.0,0.07250077767190466, 
139,36590,FL,1037,529,439,456,0,27,511,10.0,1,4801,S1,10.0,0.7853310828373068, 
140,59744,IN,595,406,284,317,0,77,333,9.0,28,5408,T2,16.0,0.41991250590016815, 
141,31893,IL,375,296,267,270,8,13,295,20.0,0,0,T2,20.0,0.3175595448545291, 
142,46884,AL,397,386,229,329,1,74,336,9.777777778,0,0,R3,15.0,0.5078637015545475, 
143,66745,MI,584,386,283,386,0,68,307,15.0,28,7201,0,5.0,0.11610697535757597, 
144,10709,WA,534,272,206,231,1,48,248,13.55555556,0,0,0,23.0,0.8554889689262517, 
145,73984,MI,362,275,209,235,0,91,246,9.722222222,0,3305,R3,10.0,0.13116053306151332, 
146,27597,GA,991,548,493,506,3,46,532,5.8,1,5801,T1,9.0,0.7470302205211036, 
147,150587,CA,1805,447,398,394,33,58,441,10.66666667,0,0,S2,20.0,0.9633748973621803, 
148,187191,GA,2639,764,436,594,68,39,584,15.0,0,0,C1,25.0,0.037344232324616256, 
149,85357,MN,476,304,202,274,0,80,236,10.73333333,2,2908,R2,15.0,0.9465574094481982, 
150,156866,CA,3393,580,537,553,97,50,589,20.0,14,2201,U1,25.0,0.18300094535968114, 
151,164513,AE,0,0,0,0,0,0,0,12.5,0,4701,C1,50.0,0.15778816789186778, 
152,163369,CA,2250,167,181,159,99,16,192,6.0,0,0,U2,6.0,0.04030903144295461, 
153,551,TX,340,279,180,227,1,80,235,15.33333333,2,1201,T2,20.0,0.7510659911744233, 
154,18750,NC,482,462,302,328,1,72,396,12.5,0,5201,T2,20.0,0.42907648968658074, 
155,81277,WI,322,320,233,258,0,84,291,15.0,2,4401,R1,25.0,0.8851969878559678, 
156,128121,TX,655,481,406,432,0,72,430,9.0,0,0,S1,10.0,0.26943664795206634, 
157,84199,MN,908,493,487,482,0,79,499,5.090909091,0,2501,S2,5.0,0.4746609981996406, 
158,183476,WA,718,541,471,508,3,59,497,11.07692308,2,5008,T2,25.0,0.29762115641057163, 
159,162994,CA,2750,392,252,332,75,20,302,10.66666667,1,0,U1,10.0,0.7880063898702286, 
160,32040,GA,397,285,184,219,1,91,237,9.333333333,4,2801,C1,20.0,0.5249022883774946, 
161,65968,MI,1040,278,220,309,4,56,256,7.9375,1,6105,C1,9.0,0.1186638551969933, 
162,135896,Arizona,675,265,186,238,17,7,207,6.111111111,0,2501,C3,2.0,0.536688115486214, 
163,46461,FL,719,410,381,398,0,36,389,11.33333333,1,1801,C2,12.0,0.3241055911479507, 
164,2396,FL,588,266,233,249,1,21,254,8.333333333,0,0,T2,5.0,0.10682334958252404, 
165,93500,IL,1053,465,368,419,0,73,402,8.333333333,0,3705,U4,10.0,0.7831657694137668, 
166,90899,IL,419,303,279,295,0,72,296,12.0,28,3912,S3,17.0,0.2769210305652615, 
167,116542,TX,481,264,172,218,1,79,227,15.0,0,0,R3,20.0,0.8711742142403452, 
168,29868,GA,803,441,397,407,2,49,432,20.0,0,5901,T2,25.0,0.7216351111363755, 
169,171521,CA,886,388,318,339,6,58,360,5.222222222,0,0,R2,6.0,0.2288733842005355, 
170,18953,NC,1093,636,580,587,19,37,629,7.333333333,0,4303,S1,11.0,0.5321233859250413, 
171,102780,MO,257,273,148,264,0,75,194,10.125,0,1208,R2,16.0,0.8152878275245297, 
172,136372,Arizona,1453,497,419,426,17,2,486,25.0,1,1901,C1,10.0,0.1683478835162998, 
173,19581,NC,821,475,427,433,0,64,456,6.654411765,2,3703,S2,25.0,0.1176582014795533, 
174,121410,TX,931,725,416,636,12,47,543,15.0,1,3101,U1,15.0,0.09833425612124547, 
175,99736,MO,496,390,330,349,0,87,360,5.571428571,0,5101,T2,20.0,0.07568692407941036, 
176,54441,MS,463,258,181,231,0,56,227,12.75,2,4107,R3,30.0,0.3562116448414655, 
177,144735,CA,5649,888,750,828,96,56,801,8.615384615,0,2709,U1,10.0,0.6404790556217952, 
178,39257,FL,1093,441,364,424,2,30,392,9.25,1002,7001,S2,25.0,0.6025886112644725, 
179,136716,Arizona,852,498,344,450,0,14,394,12.5,1,0,C1,25.0,0.9753230567787661, 
180,145310,CA,3100,497,133,488,79,25,306,18.33333333,0,4911,U1,20.0,0.9906968363612161, 
181,40351,FL,1074,553,505,524,4,26,528,28.0,0,0,S2,30.0,0.6688802743018991, 
182,43321,FL,1452,467,352,397,12,5,410,25.0,0,2301,C1,25.0,0.3062108077297946, 
183,14009,MI,813,313,246,263,6,65,297,9.25,0,3401,0,3.0,0.4005313815898698, 
184,187517,TX,333,319,205,219,0,81,278,16.42857143,1,0,R2,25.0,0.9499992121250229, 
185,22924,SC,536,307,261,296,0,88,278,4.944444444,2,2101,C3,10.0,0.7244174424801368, 
186,65124,MI,850,495,484,501,2,88,465,8.230769231,0,0,T2,5.0,0.8804905561402557, 
187,98437,IL,443,380,268,347,0,87,320,5.727272727,0,201,R2,10.0,0.7670511872174663, 
188,54369,MS,467,308,206,261,1,83,260,6.666666667,1,0,R2,6.0,0.3717905463832576, 
189,155856,CA,1207,488,284,303,8,46,458,7.25,0,1501,C2,10.0,0.5712146062327106, 
190,107321,NE,490,345,250,299,0,84,288,3.269230769,1,5201,T2,20.0,0.20889608321960873, 
191,139500,NM,805,289,207,243,0,49,237,8.266666667,0,1610,U2,20.0,0.11114574123118914, 
192,108381,LA,638,291,220,243,0,54,255,15.66666667,1,0,U2,20.0,0.4188175391140534, 
193,129653,CO,1208,660,571,594,2,38,616,15.0,1,5201,S1,15.0,0.6788019538821625, 
194,102795,MO,198,297,208,252,0,86,261,15.0,1,2001,R3,10.0,0.05576395453411309, 
195,178085,OR,443,267,204,218,0,21,232,10.42857143,2,4403,T2,20.0,0.3113876787383125, 
196,12819,MO,1284,642,410,539,35,74,532,13.44444444,3,1101,S1,20.0,0.9753769797477148, 
197,99543,MO,675,365,312,352,1,81,343,5.785714286,0,2301,R2,15.0,0.036179723236975936, 
198,65804,MI,668,391,272,369,0,75,311,6.411764706,0,0,S2,10.0,0.024486754373052366, 
199,35947,FL,575,289,232,259,0,27,255,7.666666667,2,2505,S2,14.0,0.09403562546869515, 
200,152961,CA,2375,571,428,471,75,36,535,20.0,0,3401,C1,8.0,0.33176700280796123, 
201,161129,CA,1091,397,330,348,9,62,382,11.95238095,2,2201,R2,20.0,0.5553593915395383, 
202,177315,OR,1015,422,354,360,5,38,404,8.25,0,3805,T2,15.0,0.9296838557526047, 
203,104755,KS,1413,755,634,665,21,16,727,8.285714286,2,2001,S1,16.0,0.4930619774848286, 
204,147838,CA,3738,683,534,581,86,42,599,16.0,0,3001,S1,20.0,0.8534671119392212, 
205,182748,WA,849,380,281,327,10,48,327,13.30769231,2,2501,C2,12.0,0.4706706409082886, 
206,177238,OR,871,390,309,344,8,45,362,9.55,0,3207,T2,12.0,0.7933603407485708, 
207,191138,TX,571,366,300,333,1,67,336,15.0,0,4201,T2,15.0,0.20220021611618388, 
208,133932,WA,0,89,55,68,0,29,63,4.555555556,0,0,R3,5.0,0.4922995705748723, 
209,120608,TX,375,232,182,207,0,72,208,15.0,0,0,C3,15.0,0.552810993756197, 
210,11562,CA,3435,614,490,546,91,40,560,32.30769231,0,2501,S1,50.0,0.5346406578971856, 
211,87541,WA,466,289,211,252,0,61,244,5.625,0,4501,R2,5.0,0.6603340134131443, 
212,1722,CA,1668,668,648,664,12,60,663,13.38461539,1002,5207,C1,10.0,0.47907529167392293, 
213,32843,FL,546,322,283,256,0,63,344,15.0,1,5901,C3,15.0,0.5086280157156637, 
214,77439,WI,713,429,360,372,0,91,408,11.3125,2,3101,R2,17.0,0.30560287079884096, 
215,140457,NM,576,338,263,355,1,51,304,6.04,1,2401,T2,10.0,0.34285716426610513, 
216,70144,FL,585,427,459,393,0,33,445,13.58333333,0,1711,S3,15.0,0.7746418335429135, 
217,157947,CA,2022,569,441,534,52,44,496,4.777777778,0,0,U1,5.0,0.015382525630275978, 
218,137680,Arizona,786,318,220,264,2,27,274,6.222222222,0,2308,R2,5.0,0.3241035688885797, 
219,153708,CA,1406,556,431,536,21,35,453,15.0,28,0,U2,21.0,0.9665171662237504, 
220,27217,GA,503,324,239,275,1,84,287,20.0,0,0,R2,15.0,0.30826403232231503, 
221,1442,MO,1602,593,459,475,32,67,561,18.42105263,0,5901,C1,24.0,0.19465311953703712, 
222,38327,FL,736,316,274,276,0,16,311,10.4,1,1103,S2,11.0,0.1147167782173042, 
223,109287,LA,393,213,130,147,0,92,178,4.363636364,0,0,C3,5.0,0.44814680444769817, 
224,77784,WI,987,521,430,469,2,80,476,10.0,0,7102,S1,16.0,0.08188504620982928, 
225,22098,NC,529,326,254,301,1,73,284,2.439814815,2,2801,T2,2.0,0.3330169773913185, 
226,156224,CA,4933,816,691,736,94,26,762,26.5,0,4701,T1,30.0,0.05998614779830502, 
227,169224,CA,1178,573,482,507,0,48,543,15.57142857,0,2201,C1,36.0,0.7419394180012145, 
228,146341,CA,2397,459,409,486,77,47,402,9.9,1,1701,U2,20.0,0.6849667604188618, 
229,102630,MO,651,459,336,415,0,75,395,3.578947368,2,0,R2,5.0,0.6554155022426654, 
230,119362,TX,1711,810,400,806,34,66,566,16.0,28,2001,C1,45.0,0.4647733358585243, 
231,92962,CA,3663,818,749,777,87,52,784,20.0,1,0,U1,20.0,0.49405023784924185, 
232,14420,SC,473,373,300,319,0,80,333,8.666666667,0,403,T2,10.0,0.10103579981024358, 
233,157687,CA,4954,1146,1106,1195,99,55,1086,7.444444444,0,3801,T1,15.0,0.9646879033476007, 
234,145436,TX,775,467,494,465,1,59,489,25.0,1,0,U1,10.0,0.6805860456372077, 
235,62795,IN,505,356,273,330,1,43,316,20.0,0,0,R2,20.0,0.9089413716261386, 
236,80153,WI,416,340,247,297,0,62,292,15.0,0,2301,C3,5.0,0.885201734519967, 
237,21107,NC,678,335,260,289,4,56,303,8.777777778,1,1907,T2,7.0,0.7092227313183048, 
238,164551,CA,1158,386,369,398,3,64,373,4.090909091,0,0,C2,3.0,0.22078034781707712, 
239,53485,TN,861,328,248,314,0,44,278,7.0,28,0,S2,7.0,0.8954820878240314, 
240,25331,SC,407,260,157,193,0,79,221,16.66666667,0,0,R2,22.0,0.23672874022634804, 
241,189130,IL,1094,444,363,388,2,66,421,20.83333333,1,2810,U2,51.0,0.5597216807433789, 
242,190840,IL,485,340,297,309,0,60,329,21.25,1,4912,C3,25.0,0.3424880230480558, 
243,341,GA,517,416,327,375,0,87,389,11.0,0,3011,R2,25.0,0.849133657623901, 
244,109240,LA,445,256,180,210,1,96,226,6.321428571,0,3711,T3,7.0,0.5845090638006636, 
245,6028,NE,2458,1118,1178,1203,73,56,1095,13.58139535,4,4912,S1,15.0,0.9228960421362754, 
246,169722,CA,1428,297,301,277,3,49,322,25.0,0,4701,C2,20.0,0.6702903077910396, 
247,91467,IL,693,386,407,399,1,81,390,6.588235294,28,4106,T2,8.0,0.4519114026948782, 
248,88537,IL,873,319,211,291,0,75,251,3.173913044,1,2106,T2,5.0,0.8707353543082272, 
249,162740,CA,2807,542,478,497,92,58,504,12.75,0,2201,S2,14.0,0.19614110050440892, 
250,123622,TX,351,304,241,278,0,61,283,14.0,1,5401,S3,25.0,0.6362176747777438, 
251,12370,CA,2067,583,489,534,53,54,540,450.0,0,0,C1,20.0,0.6972416408620377, 
252,91453,IL,999,496,411,453,12,80,465,18.71428571,0,0,T2,21.0,0.04064173710273633, 
253,42543,FL,419,305,218,243,1,53,277,8.75,0,0,R2,20.0,0.22727197634732443, 
254,89768,IL,962,465,327,479,1,69,361,5.111111111,2,0,S2,11.0,0.19877450515331319, 
255,139175,NM,542,298,220,252,1,56,272,11.51351351,0,0,R2,10.0,0.5355001904119863, 
256,83559,OK,780,414,278,323,1,36,345,14.14285714,1,5902,U2,10.0,0.17570008294072403, 
257,113312,OK,1229,700,546,649,4,60,555,5.214285714,2,2301,C1,5.0,0.7890017045932277, 
258,117329,TX,928,452,408,452,2,48,444,12.83333333,28,2712,S1,15.0,0.3119006212537122, 
259,56674,KY,335,195,137,205,0,80,166,6.666666667,1,2101,U4,15.0,0.6042528362699267, 
260,40105,FL,700,326,228,277,0,27,309,15.0,0,4608,S3,23.0,0.7430999119327546, 
261,76914,IA,337,301,220,265,0,87,258,9.714285714,0,0,R2,15.0,0.6218472019706438, 
262,7947,MI,557,372,279,337,1,69,321,9.074074074,1,1612,R2,11.0,0.031276112121827015, 
263,166350,CA,3333,913,690,871,94,50,759,20.83333333,0,5201,S1,25.0,0.015229787015647034, 
264,2151,CA,1126,285,243,261,6,38,275,20.8,1,5001,C3,25.0,0.05485899087035073, 
265,107298,NE,0,0,0,0,0,0,0,38.0,0,4401,S2,43.0,0.4027490168453016, 
266,37762,FL,1987,633,403,524,49,20,567,14.0,1,3401,C1,30.0,0.44594743454204455, 
267,117383,TX,0,0,0,0,0,0,0,15.0,2,4801,S2,21.0,0.9195689222062906, 
268,174375,OR,1093,483,315,431,7,44,386,25.0,28,5801,S2,25.0,0.04599947416992278, 
269,102742,MO,238,287,176,225,0,82,233,6.636363636,1,4401,R2,9.0,0.770996426200732, 
270,53793,TN,966,569,517,528,2,47,547,7.714285714,28,4901,S1,5.0,0.011280613163488051, 
271,59070,KY,377,285,234,252,0,85,276,10.25,1,5003,R3,10.0,0.9404823769708393, 
272,107279,NE,825,503,417,459,2,68,453,4.0,0,4701,S1,4.0,0.7300783275029992, 
273,88886,IL,962,486,391,444,12,67,452,35.0,1,5411,R2,40.0,0.9441224297931042, 
274,190552,NM,1082,609,482,566,2,24,522,10.08333333,1,3501,0,7.0,0.1702274656639876, 
275,148869,CA,2362,678,613,632,74,61,655,13.375,1,6401,C1,15.0,0.10118489506966355, 
